MovementID,ItemID,WarehouseID,MovementType,Quantity,MovementDate,ProcessedBy,Reference,Notes
MV01738,ITM0061,WH005,IN,49,2024-01-15,USER005,REF-1738,
MV02665,ITM0054,WH001,IN,93,2024-01-15,USER003,REF-2665,
MV02829,ITM0054,WH003,OUT,-9,2024-01-15,USER001,REF-2829,
MV00606,ITM0087,WH001,OUT,-81,2024-01-16,USER005,REF-606,
MV00916,ITM0067,WH003,ADJUSTMENT,-73,2024-01-16,USER008,ADJ-916,Recount
MV01418,ITM0017,WH002,OUT,-90,2024-01-16,USER004,REF-1418,
MV01497,ITM0038,WH004,ADJUSTMENT,-79,2024-01-16,USER002,ADJ-1497,Damage
MV01614,ITM0017,WH003,OUT,-21,2024-01-16,USER007,REF-1614,
MV01651,ITM0042,WH002,OUT,-83,2024-01-16,USER002,REF-1651,
MV02274,ITM0089,WH003,ADJUSTMENT,-9,2024-01-16,USER003,ADJ-2274,Recount
MV02296,ITM0082,WH005,OUT,-53,2024-01-16,USER008,REF-2296,
MV00059,ITM0060,WH004,ADJUSTMENT,-72,2024-01-17,USER006,ADJ-59,Damage
MV00425,ITM0005,WH003,IN,7,2024-01-17,USER002,REF-425,
MV01338,ITM0007,WH003,ADJUSTMENT,-15,2024-01-17,USER001,ADJ-1338,Recount
MV01694,ITM0055,WH001,IN,12,2024-01-17,USER005,REF-1694,
MV01820,ITM0046,WH001,IN,32,2024-01-17,USER006,REF-1820,
MV01876,ITM0030,WH004,IN,70,2024-01-17,USER005,REF-1876,
MV00114,ITM0006,WH002,IN,98,2024-01-18,USER008,REF-114,
MV00252,ITM0097,WH004,ADJUSTMENT,-47,2024-01-18,USER008,ADJ-252,Found
MV02336,ITM0073,WH002,IN,27,2024-01-18,USER003,REF-2336,
MV02630,ITM0095,WH002,ADJUSTMENT,-91,2024-01-18,USER001,ADJ-2630,Found
MV02693,ITM0065,WH005,ADJUSTMENT,-9,2024-01-18,USER008,ADJ-2693,Damage
MV02737,ITM0009,WH003,ADJUSTMENT,-82,2024-01-18,USER002,ADJ-2737,Recount
MV00270,ITM0005,WH001,OUT,-14,2024-01-19,USER001,REF-270,
MV00284,ITM0087,WH001,IN,8,2024-01-19,USER002,REF-284,
MV00432,ITM0034,WH005,OUT,-40,2024-01-19,USER004,REF-432,
MV01780,ITM0015,WH002,IN,29,2024-01-19,USER008,REF-1780,
MV02293,ITM0002,WH005,IN,34,2024-01-19,USER007,REF-2293,
MV02719,ITM0096,WH001,IN,32,2024-01-19,USER002,REF-2719,
MV00116,ITM0074,WH001,OUT,-9,2024-01-20,USER005,REF-116,
MV00629,ITM0072,WH003,IN,40,2024-01-20,USER005,REF-629,
MV00776,ITM0009,WH005,OUT,-33,2024-01-20,USER003,REF-776,
MV01022,ITM0035,WH003,OUT,-39,2024-01-20,USER001,REF-1022,
MV01091,ITM0035,WH003,IN,35,2024-01-20,USER008,REF-1091,
MV01882,ITM0068,WH001,OUT,-21,2024-01-20,USER002,REF-1882,
MV02283,ITM0098,WH005,ADJUSTMENT,-80,2024-01-20,USER004,ADJ-2283,Damage
MV02529,ITM0023,WH005,OUT,-23,2024-01-20,USER003,REF-2529,
MV02664,ITM0091,WH002,ADJUSTMENT,-242,2024-01-20,USER002,ADJ-2664,Lost
MV02736,ITM0041,WH002,ADJUSTMENT,-79,2024-01-20,USER005,ADJ-2736,Expired
MV02896,ITM0074,WH003,ADJUSTMENT,-14,2024-01-20,USER007,ADJ-2896,Expired
MV02995,ITM0041,WH005,IN,17,2024-01-20,USER005,REF-2995,
MV00389,ITM0072,WH002,OUT,-90,2024-01-21,USER008,REF-389,
MV01969,ITM0028,WH003,OUT,-4,2024-01-21,USER005,REF-1969,
MV01977,ITM0095,WH003,ADJUSTMENT,-46,2024-01-21,USER008,ADJ-1977,Damage
MV02377,ITM0018,WH004,IN,43,2024-01-21,USER005,REF-2377,
MV02599,ITM0011,WH004,ADJUSTMENT,-11,2024-01-21,USER008,ADJ-2599,Lost
MV01372,ITM0090,WH004,OUT,-46,2024-01-22,USER008,REF-1372,
MV01617,ITM0069,WH004,OUT,-64,2024-01-22,USER004,REF-1617,
MV02286,ITM0019,WH004,OUT,-69,2024-01-22,USER003,REF-2286,
MV02360,ITM0026,WH001,OUT,-28,2024-01-22,USER006,REF-2360,
MV02570,ITM0029,WH004,OUT,-52,2024-01-22,USER001,REF-2570,
MV02721,ITM0017,WH001,OUT,-323,2024-01-22,USER007,REF-2721,
MV00038,ITM0066,WH004,ADJUSTMENT,-320,2024-01-23,USER006,ADJ-38,Lost
MV00419,ITM0019,WH005,IN,75,2024-01-23,USER004,REF-419,
MV00577,ITM0043,WH002,ADJUSTMENT,-99,2024-01-23,USER001,ADJ-577,Recount
MV02176,ITM0089,WH005,OUT,-35,2024-01-23,USER006,REF-2176,
MV02265,ITM0086,WH004,IN,19,2024-01-23,USER005,REF-2265,
MV02589,ITM0027,WH004,IN,75,2024-01-23,USER004,REF-2589,
MV02702,ITM0076,WH005,IN,22,2024-01-23,USER002,REF-2702,
MV00201,ITM0043,WH002,IN,67,2024-01-24,USER003,REF-201,
MV00843,ITM0002,WH004,IN,14,2024-01-24,USER002,REF-843,
MV01099,ITM0013,WH005,OUT,-22,2024-01-24,USER007,REF-1099,
MV01144,ITM0094,WH005,OUT,-72,2024-01-24,USER002,REF-1144,
MV01509,ITM0031,WH002,ADJUSTMENT,-48,2024-01-24,USER008,ADJ-1509,Damage
MV01706,ITM0014,WH005,IN,476,2024-01-24,USER006,REF-1706,
MV02134,ITM0098,WH005,ADJUSTMENT,-69,2024-01-24,USER007,ADJ-2134,Damage
MV00137,ITM0076,WH004,IN,40,2024-01-25,USER003,REF-137,
MV01117,ITM0044,WH002,ADJUSTMENT,-62,2024-01-25,USER005,ADJ-1117,Expired
MV01545,ITM0070,WH005,OUT,-32,2024-01-25,USER004,REF-1545,
MV01879,ITM0052,WH001,IN,91,2024-01-25,USER001,REF-1879,
MV02280,ITM0050,WH001,ADJUSTMENT,-4,2024-01-25,USER004,ADJ-2280,Lost
MV02891,ITM0037,WH003,ADJUSTMENT,-87,2024-01-25,USER001,ADJ-2891,Recount
MV01222,ITM0088,WH002,OUT,-71,2024-01-26,USER002,REF-1222,
MV01987,ITM0087,WH002,OUT,-71,2024-01-26,USER006,REF-1987,
MV02218,ITM0095,WH002,OUT,-82,2024-01-26,USER003,REF-2218,
MV02522,ITM0035,WH005,OUT,-19,2024-01-26,USER006,REF-2522,
MV00026,ITM0021,WH002,ADJUSTMENT,-7,2024-01-27,USER002,ADJ-26,Damage
MV00128,ITM0064,WH003,IN,56,2024-01-27,USER005,REF-128,
MV00548,ITM0034,WH003,ADJUSTMENT,-62,2024-01-27,USER007,ADJ-548,Found
MV00691,ITM0076,WH002,IN,62,2024-01-27,USER002,REF-691,
MV00750,ITM0056,WH002,ADJUSTMENT,-27,2024-01-27,USER004,ADJ-750,Expired
MV01883,ITM0008,WH003,ADJUSTMENT,-32,2024-01-27,USER006,ADJ-1883,Damage
MV00788,ITM0098,WH005,OUT,-10,2024-01-28,USER007,REF-788,
MV00813,ITM0061,WH005,IN,31,2024-01-28,USER002,REF-813,
MV01177,ITM0065,WH002,ADJUSTMENT,-404,2024-01-28,USER008,ADJ-1177,Found
MV01238,ITM0088,WH005,ADJUSTMENT,-59,2024-01-28,USER003,ADJ-1238,Lost
MV01616,ITM0074,WH005,ADJUSTMENT,-32,2024-01-28,USER006,ADJ-1616,Found
MV01963,ITM0051,WH005,ADJUSTMENT,-77,2024-01-28,USER005,ADJ-1963,Damage
MV00018,ITM0060,WH003,IN,16,2024-01-29,USER003,REF-18,
MV00022,ITM0041,WH005,OUT,-92,2024-01-29,USER003,REF-22,
MV00039,ITM0018,WH001,ADJUSTMENT,-83,2024-01-29,USER005,ADJ-39,Damage
MV00308,ITM0017,WH004,ADJUSTMENT,-86,2024-01-29,USER007,ADJ-308,Found
MV00597,ITM0029,WH004,OUT,-27,2024-01-29,USER007,REF-597,
MV00753,ITM0071,WH004,ADJUSTMENT,-48,2024-01-29,USER007,ADJ-753,Found
MV00811,ITM0006,WH005,IN,47,2024-01-29,USER005,REF-811,
MV00820,ITM0033,WH005,IN,1,2024-01-29,USER005,REF-820,
MV00913,ITM0019,WH004,ADJUSTMENT,-66,2024-01-29,USER002,ADJ-913,Found
MV01129,ITM0070,WH005,OUT,-65,2024-01-29,USER005,REF-1129,
MV01340,ITM0015,WH005,OUT,-19,2024-01-29,USER005,REF-1340,
MV01436,ITM0088,WH001,OUT,-472,2024-01-29,USER008,REF-1436,
MV01672,ITM0036,WH001,IN,36,2024-01-29,USER004,REF-1672,
MV00222,ITM0067,WH001,OUT,-58,2024-01-30,USER007,REF-222,
MV00538,ITM0055,WH004,IN,30,2024-01-30,USER001,REF-538,
MV01837,ITM0100,WH002,ADJUSTMENT,-57,2024-01-30,USER003,ADJ-1837,Expired
MV02328,ITM0096,WH004,IN,93,2024-01-30,USER004,REF-2328,
MV02581,ITM0017,WH003,IN,75,2024-01-30,USER004,REF-2581,
MV02776,ITM0064,WH004,ADJUSTMENT,-331,2024-01-30,USER007,ADJ-2776,Expired
MV00560,ITM0094,WH002,OUT,-54,2024-01-31,USER008,REF-560,
MV00792,ITM0076,WH002,ADJUSTMENT,-20,2024-01-31,USER008,ADJ-792,Found
MV00869,ITM0070,WH004,ADJUSTMENT,-96,2024-01-31,USER001,ADJ-869,Recount
MV01399,ITM0087,WH001,ADJUSTMENT,-70,2024-01-31,USER006,ADJ-1399,Found
MV02115,ITM0023,WH003,OUT,-48,2024-01-31,USER003,REF-2115,
MV02793,ITM0002,WH004,OUT,-88,2024-01-31,USER003,REF-2793,
MV00484,ITM0098,WH005,OUT,-89,2024-02-01,USER003,REF-484,
MV01448,ITM0041,WH002,IN,79,2024-02-01,USER007,REF-1448,
MV02187,ITM0057,WH004,IN,57,2024-02-01,USER001,REF-2187,
MV02284,ITM0065,WH002,ADJUSTMENT,-70,2024-02-01,USER004,ADJ-2284,Damage
MV00159,ITM0081,WH004,ADJUSTMENT,-9,2024-02-02,USER006,ADJ-159,Lost
MV00272,ITM0045,WH004,ADJUSTMENT,-34,2024-02-02,USER004,ADJ-272,Recount
MV00756,ITM0083,WH003,IN,42,2024-02-02,USER003,REF-756,
MV00975,ITM0075,WH001,OUT,-79,2024-02-02,USER002,REF-975,
MV01081,ITM0048,WH002,ADJUSTMENT,-64,2024-02-02,USER003,ADJ-1081,Lost
MV01410,ITM0037,WH001,ADJUSTMENT,-91,2024-02-02,USER005,ADJ-1410,Expired
MV01555,ITM0100,WH001,IN,39,2024-02-02,USER006,REF-1555,
MV02261,ITM0034,WH003,IN,86,2024-02-02,USER006,REF-2261,
MV02514,ITM0096,WH003,OUT,-54,2024-02-02,USER001,REF-2514,
MV02838,ITM0052,WH002,IN,91,2024-02-02,USER001,REF-2838,
MV00490,ITM0040,WH001,IN,40,2024-02-03,USER001,REF-490,
MV00532,ITM0067,WH003,OUT,-39,2024-02-03,USER008,REF-532,
MV00692,ITM0088,WH004,ADJUSTMENT,-39,2024-02-03,USER008,ADJ-692,Found
MV00818,ITM0076,WH005,IN,11,2024-02-03,USER001,REF-818,
MV00851,ITM0023,WH004,ADJUSTMENT,-90,2024-02-03,USER005,ADJ-851,Expired
MV00925,ITM0042,WH004,ADJUSTMENT,-23,2024-02-03,USER003,ADJ-925,Expired
MV01346,ITM0053,WH005,IN,72,2024-02-03,USER003,REF-1346,
MV01401,ITM0057,WH003,OUT,-85,2024-02-03,USER007,REF-1401,
MV01469,ITM0083,WH003,IN,96,2024-02-03,USER005,REF-1469,
MV02330,ITM0009,WH002,ADJUSTMENT,-76,2024-02-03,USER004,ADJ-2330,Recount
MV02524,ITM0014,WH001,IN,57,2024-02-03,USER006,REF-2524,
MV02634,ITM0005,WH001,OUT,-4,2024-02-03,USER001,REF-2634,
MV00787,ITM0003,WH001,IN,9,2024-02-04,USER006,REF-787,
MV01556,ITM0055,WH003,ADJUSTMENT,-26,2024-02-04,USER003,ADJ-1556,Expired
MV01566,ITM0032,WH001,OUT,-12,2024-02-04,USER001,REF-1566,
MV01643,ITM0003,WH003,ADJUSTMENT,-1,2024-02-04,USER001,ADJ-1643,Damage
MV02485,ITM0071,WH004,IN,85,2024-02-04,USER008,REF-2485,
MV02769,ITM0002,WH004,OUT,-42,2024-02-04,USER007,REF-2769,
MV00188,ITM0069,WH003,OUT,-11,2024-02-05,USER006,REF-188,
MV00559,ITM0082,WH005,IN,31,2024-02-05,USER004,REF-559,
MV01185,ITM0079,WH001,IN,56,2024-02-05,USER007,REF-1185,
MV01769,ITM0009,WH003,IN,98,2024-02-05,USER004,REF-1769,
MV01858,ITM0017,WH001,IN,3,2024-02-05,USER008,REF-1858,
MV02332,ITM0038,WH005,OUT,-25,2024-02-05,USER005,REF-2332,
MV02447,ITM0028,WH001,IN,84,2024-02-05,USER005,REF-2447,
MV02673,ITM0009,WH005,OUT,-44,2024-02-05,USER008,REF-2673,
MV00106,ITM0013,WH005,OUT,-99,2024-02-06,USER004,REF-106,
MV00698,ITM0095,WH004,OUT,-15,2024-02-06,USER003,REF-698,
MV01845,ITM0036,WH002,ADJUSTMENT,-98,2024-02-06,USER003,ADJ-1845,Lost
MV01905,ITM0008,WH002,OUT,-91,2024-02-06,USER003,REF-1905,
MV02170,ITM0010,WH005,IN,51,2024-02-06,USER003,REF-2170,
MV02227,ITM0070,WH002,OUT,-29,2024-02-06,USER002,REF-2227,
MV02229,ITM0011,WH005,ADJUSTMENT,-42,2024-02-06,USER002,ADJ-2229,Expired
MV02580,ITM0008,WH004,OUT,-93,2024-02-06,USER004,REF-2580,
MV02679,ITM0051,WH001,ADJUSTMENT,-54,2024-02-06,USER008,ADJ-2679,Found
MV02801,ITM0100,WH003,IN,42,2024-02-06,USER003,REF-2801,
MV00183,ITM0041,WH003,IN,18,2024-02-07,USER006,REF-183,
MV00413,ITM0003,WH005,OUT,-45,2024-02-07,USER004,REF-413,
MV02052,ITM0048,WH004,OUT,-60,2024-02-07,USER003,REF-2052,
MV00093,ITM0005,WH003,IN,1,2024-02-08,USER002,REF-93,
MV00393,ITM0086,WH004,IN,28,2024-02-08,USER001,REF-393,
MV00610,ITM0062,WH005,OUT,-44,2024-02-08,USER007,REF-610,
MV01094,ITM0035,WH003,IN,47,2024-02-08,USER007,REF-1094,
MV01763,ITM0062,WH004,OUT,-72,2024-02-08,USER003,REF-1763,
MV01808,ITM0016,WH001,IN,100,2024-02-08,USER001,REF-1808,
MV01877,ITM0007,WH001,ADJUSTMENT,-56,2024-02-08,USER003,ADJ-1877,Expired
MV02035,ITM0032,WH004,ADJUSTMENT,-83,2024-02-08,USER008,ADJ-2035,Damage
MV02584,ITM0011,WH004,ADJUSTMENT,-8,2024-02-08,USER004,ADJ-2584,Recount
MV00592,ITM0023,WH002,OUT,-14,2024-02-09,USER008,REF-592,
MV00860,ITM0068,WH005,IN,12,2024-02-09,USER003,REF-860,
MV00877,ITM0075,WH003,IN,38,2024-02-09,USER003,REF-877,
MV00937,ITM0021,WH005,IN,45,2024-02-09,USER005,REF-937,
MV01075,ITM0097,WH004,OUT,-41,2024-02-09,USER004,REF-1075,
MV01198,ITM0066,WH003,IN,89,2024-02-09,USER008,REF-1198,
MV01296,ITM0012,WH003,IN,59,2024-02-09,USER007,REF-1296,
MV01782,ITM0046,WH005,ADJUSTMENT,-62,2024-02-09,USER005,ADJ-1782,Found
MV02023,ITM0077,WH005,ADJUSTMENT,-84,2024-02-09,USER001,ADJ-2023,Found
MV02794,ITM0023,WH004,OUT,-19,2024-02-09,USER004,REF-2794,
MV02808,ITM0033,WH003,IN,1,2024-02-09,USER006,REF-2808,
MV02847,ITM0097,WH003,ADJUSTMENT,-82,2024-02-09,USER002,ADJ-2847,Damage
MV00486,ITM0006,WH005,IN,288,2024-02-10,USER005,REF-486,
MV00522,ITM0034,WH004,IN,1,2024-02-10,USER002,REF-522,
MV01065,ITM0042,WH003,OUT,-86,2024-02-10,USER007,REF-1065,
MV01160,ITM0045,WH005,ADJUSTMENT,-31,2024-02-10,USER001,ADJ-1160,Damage
MV01281,ITM0004,WH001,OUT,-43,2024-02-10,USER007,REF-1281,
MV01364,ITM0036,WH001,ADJUSTMENT,-86,2024-02-10,USER001,ADJ-1364,Expired
MV01491,ITM0092,WH004,ADJUSTMENT,-30,2024-02-10,USER001,ADJ-1491,Recount
MV01528,ITM0045,WH002,OUT,-54,2024-02-10,USER001,REF-1528,
MV01610,ITM0035,WH001,OUT,-97,2024-02-10,USER002,REF-1610,
MV02158,ITM0083,WH002,ADJUSTMENT,-70,2024-02-10,USER002,ADJ-2158,Recount
MV02159,ITM0100,WH003,OUT,-17,2024-02-10,USER008,REF-2159,
MV02244,ITM0036,WH005,IN,42,2024-02-10,USER006,REF-2244,
MV02326,ITM0081,WH001,ADJUSTMENT,-2,2024-02-10,USER003,ADJ-2326,Expired
MV02666,ITM0086,WH003,OUT,-29,2024-02-10,USER001,REF-2666,
MV02796,ITM0082,WH003,OUT,-36,2024-02-10,USER002,REF-2796,
MV00204,ITM0075,WH003,OUT,-79,2024-02-11,USER005,REF-204,
MV00382,ITM0085,WH003,ADJUSTMENT,-60,2024-02-11,USER002,ADJ-382,Expired
MV01348,ITM0019,WH001,IN,8,2024-02-11,USER002,REF-1348,
MV01386,ITM0080,WH002,ADJUSTMENT,-31,2024-02-11,USER008,ADJ-1386,Recount
MV01415,ITM0004,WH003,ADJUSTMENT,-85,2024-02-11,USER004,ADJ-1415,Recount
MV01628,ITM0078,WH003,OUT,-86,2024-02-11,USER004,REF-1628,
MV01901,ITM0053,WH002,ADJUSTMENT,-22,2024-02-11,USER002,ADJ-1901,Expired
MV02154,ITM0046,WH001,OUT,-42,2024-02-11,USER004,REF-2154,
MV02302,ITM0090,WH001,IN,97,2024-02-11,USER005,REF-2302,
MV02448,ITM0052,WH002,IN,656,2024-02-11,USER004,REF-2448,
MV00149,ITM0056,WH001,OUT,-86,2024-02-12,USER002,REF-149,
MV00547,ITM0067,WH001,ADJUSTMENT,-37,2024-02-12,USER007,ADJ-547,Expired
MV01063,ITM0075,WH003,OUT,-10,2024-02-12,USER008,REF-1063,
MV01607,ITM0074,WH001,OUT,-100,2024-02-12,USER005,REF-1607,
MV01842,ITM0010,WH001,OUT,-79,2024-02-12,USER008,REF-1842,
MV02057,ITM0061,WH004,OUT,-62,2024-02-12,USER003,REF-2057,
MV02313,ITM0062,WH005,IN,12,2024-02-12,USER007,REF-2313,
